_id,title,description,video,thumbnail,hashtags,products,userId,likes,likeCount,shareLink,viewCount,shareCount,revenue,orders,isActive,comments,createdAt,__v,isTrending
{'$oid': '69b517aff10cd924f53e68b3'},12x18 Customized Photo Frame,,"{'public_id': 'zatch/Bits/1773475755794-945187316-1000099507.mp4', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/1773475755794-945187316-1000099507.mp4'}","{'public_id': 'zatch/Bits/thumbnails/1773475759187-446034923-1000099333.jpg', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/thumbnails/1773475759187-446034923-1000099333.jpg'}","['#photoframe', '#memories', '#customized']",[{'$oid': '69b5118df10cd924f53e5b02'}],{'$oid': '699308462c63bfbc04771685'},"[{'$oid': '698e259d2c63bfbc04768479'}, {'$oid': '698e25132c63bfbc047683d8'}, {'$oid': '698e263e2c63bfbc0476857e'}, {'$oid': '698e6cbe2c63bfbc0476bfa7'}]",4,/bits/1773475759595-699308462c63bfbc04771685,159,2,0,0,True,"[{'userId': {'$oid': '698e25132c63bfbc047683d8'}, 'text': 'rrhhyj', '_id': {'$oid': '69b82c7ed5ba7b8d34dec794'}, 'createdAt': {'$date': '2026-03-16T16:14:54.414Z'}}]",{'$date': '2026-03-14T08:09:19.595Z'},5,False
{'$oid': '69b8d57bd5ba7b8d34df0a7d'},Buy 1 Get 1 Collections,"Festival Dhamaka Offer...

Buy any 1 shirt get selected  1 shirt for free

Available Sizes are 
S M L XL","{'public_id': 'zatch/Bits/1773720950989-812629589-1000361455.mp4', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/1773720950989-812629589-1000361455.mp4'}","{'public_id': 'zatch/Bits/thumbnails/1773720955197-736540856-1000356708.jpg', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/thumbnails/1773720955197-736540856-1000356708.jpg'}","['#shirtsoffers', '#buy1get1', '#printedshirts', '#checks', '#plain', '#shirts']",[{'$oid': '69b85767d5ba7b8d34def636'}],{'$oid': '6992fed22c63bfbc04771576'},[{'$oid': '698e259d2c63bfbc04768479'}],1,/bits/1773720955702-6992fed22c63bfbc04771576,105,2,0,0,False,[],{'$date': '2026-03-17T04:15:55.703Z'},5,False
{'$oid': '69b99950d5ba7b8d34df55f8'},8*12 Photo frame,Very good looking Photo frame,"{'public_id': 'zatch/Bits/1776627520440-103949798-edit_video.mp4', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/1776627520440-103949798-edit_video.mp4'}","{'public_id': 'zatch/Bits/thumbnails/1776627523619-721788437-edit_thumb.png', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/thumbnails/1776627523619-721788437-edit_thumb.png'}","['#couple photos frame', '#birthday frames', '#gifts']",[{'$oid': '69e4f5ab330134cd220e78c9'}],{'$oid': '69b90e7ed5ba7b8d34df1270'},"[{'$oid': '69b90e7ed5ba7b8d34df1270'}, {'$oid': '698e259d2c63bfbc04768479'}]",2,/bits/1773771088216-69b90e7ed5ba7b8d34df1270,141,0,0,0,True,[],{'$date': '2026-03-17T18:11:28.217Z'},2,False
{'$oid': '69b99b08d5ba7b8d34df5cb3'},6*8 Classic Photo frame,Good memories,"{'public_id': 'zatch/Bits/1773771525187-58239485-1000210298.mp4', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/1773771525187-58239485-1000210298.mp4'}","{'public_id': 'zatch/Bits/thumbnails/1773771528362-537989330-1000210506.jpg', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/thumbnails/1773771528362-537989330-1000210506.jpg'}","['#Good memories', '#photo frame', '#gifts']",[{'$oid': '69b99a77d5ba7b8d34df5c52'}],{'$oid': '69b90e7ed5ba7b8d34df1270'},[{'$oid': '698e264a2c63bfbc04768582'}],1,/bits/1773771528828-69b90e7ed5ba7b8d34df1270,130,0,0,0,True,[],{'$date': '2026-03-17T18:18:48.829Z'},1,False
{'$oid': '69b99c44d5ba7b8d34df60eb'},4X4 premium product,Very good premium product,"{'public_id': 'zatch/Bits/1773771841199-144025475-1000210300.mp4', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/1773771841199-144025475-1000210300.mp4'}","{'public_id': 'zatch/Bits/thumbnails/1773771843892-556740339-1000210502.jpg', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/thumbnails/1773771843892-556740339-1000210502.jpg'}","['#Photo frame', '#premium photo frame', '#gifts']",[{'$oid': '69b99baad5ba7b8d34df607b'}],{'$oid': '69b90e7ed5ba7b8d34df1270'},[{'$oid': '698e259d2c63bfbc04768479'}],1,/bits/1773771844335-69b90e7ed5ba7b8d34df1270,99,0,0,0,True,[],{'$date': '2026-03-17T18:24:04.335Z'},1,False
{'$oid': '69b99fbed5ba7b8d34df68c7'},12x18 Photo frame,Very rich looking frame,"{'public_id': 'zatch/Bits/1773772730836-616798574-1000210508.mp4', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/1773772730836-616798574-1000210508.mp4'}","{'public_id': 'zatch/Bits/thumbnails/1773772733903-54131266-1000210509.jpg', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/thumbnails/1773772733903-54131266-1000210509.jpg'}","['#gifts', '#rich looking frame', '#beautiful']",[{'$oid': '69b99efcd5ba7b8d34df685e'}],{'$oid': '69b90e7ed5ba7b8d34df1270'},"[{'$oid': '69b90e7ed5ba7b8d34df1270'}, {'$oid': '698e259d2c63bfbc04768479'}]",2,/bits/1773772734369-69b90e7ed5ba7b8d34df1270,130,0,0,0,True,[],{'$date': '2026-03-17T18:38:54.37Z'},2,False
{'$oid': '69b9a3d2d5ba7b8d34df6f90'},16X20 marriage Frame,Marriage memories,"{'public_id': 'zatch/Bits/1773773775188-338670455-1000210517.mp4', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/1773773775188-338670455-1000210517.mp4'}","{'public_id': 'zatch/Bits/thumbnails/1773773778257-635206127-1000210518.jpg', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/thumbnails/1773773778257-635206127-1000210518.jpg'}","['#memories', '#marriage', '#frames']",[{'$oid': '69b9a311d5ba7b8d34df6f02'}],{'$oid': '69b90e7ed5ba7b8d34df1270'},"[{'$oid': '69d6218df367bc1222c709a1'}, {'$oid': '698e259d2c63bfbc04768479'}, {'$oid': '698e263e2c63bfbc0476857e'}, {'$oid': '69e33bd0b813aa5278154ad5'}]",4,/bits/1773773778737-69b90e7ed5ba7b8d34df1270,203,2,0,0,True,"[{'userId': {'$oid': '698e259d2c63bfbc04768479'}, 'text': 'looks great for such a less price', '_id': {'$oid': '69d685b9f367bc1222c7546e'}, 'createdAt': {'$date': '2026-04-08T16:43:37.416Z'}}]",{'$date': '2026-03-17T18:56:18.738Z'},5,False
{'$oid': '69e32b360cd62f0b1a4e6035'},jeans,jeans,"{'public_id': 'zatch/Bits/1776495411458-910606372-1000355683.mp4', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/1776495411458-910606372-1000355683.mp4'}","{'public_id': 'zatch/Bits/thumbnails/1776495413938-17638956-video_thumb.png', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/thumbnails/1776495413938-17638956-video_thumb.png'}","['#fashion', '#jeans', '#men']",[{'$oid': '69e329dd0cd62f0b1a4e5e69'}],{'$oid': '698e25132c63bfbc047683d8'},[],0,/bits/1776495414331-698e25132c63bfbc047683d8,18,0,0,0,False,[],{'$date': '2026-04-18T06:56:54.332Z'},0,False
{'$oid': '69e37c47330134cd220d8870'},jeans,jeans,"{'public_id': 'zatch/Bits/1776516165409-762399499-34887.mp4', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/1776516165409-762399499-34887.mp4'}","{'public_id': 'zatch/Bits/thumbnails/1776516167445-430593238-video_thumb.png', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/thumbnails/1776516167445-430593238-video_thumb.png'}","['#fashion', '#jeans', '#men']",[{'$oid': '69e37b91330134cd220d87b0'}],{'$oid': '698e25132c63bfbc047683d8'},[],0,/bits/1776516167923-698e25132c63bfbc047683d8,41,2,0,0,False,[],{'$date': '2026-04-18T12:42:47.924Z'},0,False
{'$oid': '69e38343330134cd220d9c20'},jeans,jeans,"{'public_id': 'zatch/Bits/1779193662818-376236213-edit_video.mp4', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/1779193662818-376236213-edit_video.mp4'}","{'public_id': 'zatch/Bits/thumbnails/1779193662818-274258500-edit_thumb.png', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/thumbnails/1779193662818-274258500-edit_thumb.png'}","['#jeans', '#fashion', '#men']","[{'$oid': '69e38278330134cd220d9b81'}, {'$oid': '6a09a792b7bb9861659ca2dd'}]",{'$oid': '698e25132c63bfbc047683d8'},[],0,/bits/1776517955777-698e25132c63bfbc047683d8,36,0,0,0,False,[],{'$date': '2026-04-18T13:12:35.778Z'},0,False
{'$oid': '69e73c9ee9d9e96620249058'},Much Bamboo Towel,ultra soft and Highly Absorbent and light weight Anti odour,"{'public_id': 'zatch/Bits/1776779090032-468427963-1000658402.mp4', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/1776779090032-468427963-1000658402.mp4'}","{'public_id': 'zatch/Bits/thumbnails/1776779092108-925398846-video_thumb.png', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/thumbnails/1776779092108-925398846-video_thumb.png'}","['#quick Dry 100 Bamboo eco friendly', '#feather light twel', '#bath/Gym/pool towel']",[{'$oid': '69e730abe9d9e96620248260'}],{'$oid': '69902d022c63bfbc0476da36'},"[{'$oid': '69902d022c63bfbc0476da36'}, {'$oid': '698e263e2c63bfbc0476857e'}]",2,/bits/1776762014682-69902d022c63bfbc0476da36,135,0,0,0,True,"[{'userId': {'$oid': '698e259d2c63bfbc04768479'}, 'text': 'nice', '_id': {'$oid': '69f2c5d168f7e97ef43ed93c'}, 'createdAt': {'$date': '2026-04-30T03:00:33.231Z'}}]",{'$date': '2026-04-21T09:00:14.683Z'},3,False
{'$oid': '69ece24543cd9b163f98247f'},Rose bouquet,buy handmade flowers made with love for your loved ones,"{'public_id': 'zatch/Bits/1777132098140-89333369-1000202124.mp4', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/1777132098140-89333369-1000202124.mp4'}","{'public_id': 'zatch/Bits/thumbnails/1777132101255-782973777-1000201289.jpg', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/thumbnails/1777132101255-782973777-1000201289.jpg'}","['#eternal#gifts#handmade', '#Startupindia', '#Bouquet']",[{'$oid': '69ea37b98f71d9a0781603ab'}],{'$oid': '69e76871e9d9e9662024c11a'},"[{'$oid': '698e25132c63bfbc047683d8'}, {'$oid': '698e259d2c63bfbc04768479'}, {'$oid': '69f8608068f7e97ef44183e4'}]",3,/bits/1777132101810-69e76871e9d9e9662024c11a,127,0,0,0,True,"[{'userId': {'$oid': '698e259d2c63bfbc04768479'}, 'text': 'nice product', '_id': {'$oid': '69fc29b868f7e97ef442a3aa'}, 'createdAt': {'$date': '2026-05-07T05:57:12.838Z'}}]",{'$date': '2026-04-25T15:48:21.812Z'},4,False
{'$oid': '69f8fb9568f7e97ef441c429'},Denim Streetwear Shirt,"This isn’t just denim — it’s a reflection of confidence, individuality, and modern luxury.","{'public_id': 'zatch/Bits/1777925010927-269724418-669951.mp4', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/1777925010927-269724418-669951.mp4'}","{'public_id': 'zatch/Bits/thumbnails/1777925012984-751332133-video_thumb.png', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/thumbnails/1777925012984-751332133-video_thumb.png'}","['#denimshirt', '#denim', '#streetwear', '#shirt', '#fashion', '#india']",[{'$oid': '69f88c1f68f7e97ef4419608'}],{'$oid': '69f8608068f7e97ef44183e4'},"[{'$oid': '698e259d2c63bfbc04768479'}, {'$oid': '69f8d31668f7e97ef441bc28'}, {'$oid': '69f8608068f7e97ef44183e4'}, {'$oid': '699a2e703ec6020eaac62877'}, {'$oid': '69e51ea68174770ee78f3b81'}]",5,/bits/1777925013471-69f8608068f7e97ef44183e4,125,3,0,0,True,"[{'userId': {'$oid': '699a2e703ec6020eaac62877'}, 'text': 'Hi AK Beats', '_id': {'$oid': '6a1472e2a9955ce9439628ee'}, 'createdAt': {'$date': '2026-05-25T16:03:46.084Z'}}, {'userId': {'$oid': '699a2e703ec6020eaac62877'}, 'text': 'Do you have this available in XL?l', '_id': {'$oid': '6a1472f2a9955ce9439628f3'}, 'createdAt': {'$date': '2026-05-25T16:04:02.191Z'}}, {'userId': {'$oid': '69f8608068f7e97ef44183e4'}, 'text': 'yes', '_id': {'$oid': '6a188a16fcdbfad047e3e5c1'}, 'createdAt': {'$date': '2026-05-28T18:31:50.153Z'}}, {'userId': {'$oid': '69f8608068f7e97ef44183e4'}, 'text': 'yes we have', '_id': {'$oid': '6a188a30fcdbfad047e3e5c5'}, 'createdAt': {'$date': '2026-05-28T18:32:16.093Z'}}]",{'$date': '2026-05-04T20:03:33.472Z'},11,False
{'$oid': '6a06be371a9ba20ae97cd7f0'},Gori Nature Floral,"This oversized T-shirt is made for those who move with discipline and purpose.

Designed with a relaxed fit and clean silhouette, it’s built to be worn daily — without noise, without distraction.

GORI represents silent work and self-made confidence.

* Oversized fit  
* Soft, breathable cotton  
* Minimal design  
* Everyday comfort  
* Made for disciplined, self-made youth

Fit: Oversized  
Model wears: L  
For a relaxed look, choose your regular size.

Care Instructions:
* Machine wash cold  
* Wash inside out  
* Do not bleach  
Dry in shade  

This is more than a T-shirt.
It’s a mindset.","{'public_id': 'zatch/Bits/1778826803913-606450250-4315.mp4', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/1778826803913-606450250-4315.mp4'}","{'public_id': 'zatch/Bits/thumbnails/1778826807098-222937006-4321.jpg', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/thumbnails/1778826807098-222937006-4321.jpg'}","['#Gori fashion', '#t shirt', '#summer', '#party']",[{'$oid': '69fcd17e68f7e97ef4432257'}],{'$oid': '69e1a04d0cd62f0b1a4de442'},[{'$oid': '698e263e2c63bfbc0476857e'}],1,/bits/1778826807697-69e1a04d0cd62f0b1a4de442,45,0,0,0,True,[],{'$date': '2026-05-15T06:33:27.698Z'},1,False
{'$oid': '6a06bfb11a9ba20ae97ce2b1'},Gori Blue T shirt,"This oversized T-shirt is made for those who move with discipline and purpose.

Designed with a relaxed fit and clean silhouette, it’s built to be worn daily — without noise, without distraction.

GORI represents silent work and self-made confidence.

* Oversized fit  
* Soft, breathable cotton  
* Minimal design  
* Everyday comfort  
* Made for disciplined, self-made youth

Fit: Oversized  
Model wears: L  
For a relaxed look, choose your regular size.

Care Instructions:
* Machine wash cold  
* Wash inside out  
* Do not bleach  
* Dry in shade  

This is more than a T-shirt.
It’s a mindset.","{'public_id': 'zatch/Bits/1778827175971-307104752-4331.mp4', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/1778827175971-307104752-4331.mp4'}","{'public_id': 'zatch/Bits/thumbnails/1778827184134-182965370-4326.jpg', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/thumbnails/1778827184134-182965370-4326.jpg'}","['#summer cool dress', '#t shirt', '#fashion']",[{'$oid': '69fcd21a68f7e97ef4432302'}],{'$oid': '69e1a04d0cd62f0b1a4de442'},[],0,/bits/1778827185529-69e1a04d0cd62f0b1a4de442,59,0,0,0,True,[],{'$date': '2026-05-15T06:39:45.53Z'},0,False
{'$oid': '6a06c0371a9ba20ae97ce5be'},Gori Signature Over t shirt,"This oversized T-shirt is made for those who move with discipline and purpose.

Designed with a relaxed fit and clean silhouette, it’s built to be worn daily — without noise, without distraction.

GORI represents silent work and self-made confidence.

* Oversized fit  
* Soft, breathable cotton  
* Minimal design  
* Everyday comfort  
* Made for disciplined, self-made youth

Fit: Oversized  
Model wears: L  
For a relaxed look, choose your regular size.

Care Instructions:
* Machine wash cold  
* Wash inside out  
* Do not bleach  
* Dry in shade  

This is more than a T-shirt.
It’s a mindset.","{'public_id': 'zatch/Bits/1778827316894-247759003-4332.mp4', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/1778827316894-247759003-4332.mp4'}","{'public_id': 'zatch/Bits/thumbnails/1778827319355-97034712-4321.jpg', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/thumbnails/1778827319355-97034712-4321.jpg'}","['#fashion', '#t shirt', '#summer']",[{'$oid': '69fccffc68f7e97ef44315b3'}],{'$oid': '69e1a04d0cd62f0b1a4de442'},[{'$oid': '69e1a04d0cd62f0b1a4de442'}],1,/bits/1778827319884-69e1a04d0cd62f0b1a4de442,44,0,0,0,True,[],{'$date': '2026-05-15T06:41:59.885Z'},1,False
{'$oid': '6a06c0a21a9ba20ae97ce604'},Gori French Fashion T shirt,"This oversized T-shirt is made for those who move with discipline and purpose.

Designed with a relaxed fit and clean silhouette, it’s built to be worn daily — without noise, without distraction.

GORI represents silent work and self-made confidence.

* Oversized fit  
* Soft, breathable cotton  
* Minimal design  
* Everyday comfort  
* Made for disciplined, self-made youth

Fit: Oversized  
Model wears: L  
For a relaxed look, choose your regular size.

Care Instructions:
* Machine wash cold  
* Wash inside out  
* Do not bleach  
* Dry in shade  

This is more than a T-shirt.
It’s a mindset.","{'public_id': 'zatch/Bits/1778827423411-549621185-4335.mp4', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/1778827423411-549621185-4335.mp4'}","{'public_id': 'zatch/Bits/thumbnails/1778827425694-16748495-4321.jpg', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/thumbnails/1778827425694-16748495-4321.jpg'}","['#French fashion', '#fashion', '#summer']",[{'$oid': '69fcd17e68f7e97ef4432257'}],{'$oid': '69e1a04d0cd62f0b1a4de442'},"[{'$oid': '698e259d2c63bfbc04768479'}, {'$oid': '69e1a04d0cd62f0b1a4de442'}, {'$oid': '69b90e7ed5ba7b8d34df1270'}]",3,/bits/1778827426134-69e1a04d0cd62f0b1a4de442,79,0,0,0,True,[],{'$date': '2026-05-15T06:43:46.135Z'},3,False
